DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             0.271               0.980            -0.708         4.314
RESSURF            0.300               0.978            -0.678         3.312
SOLIN            340.267             340.267             0.000         0.000
AAM            1.408e+26           1.419e+26        -1.065e+24      -999.000
CHI_200           -0.002               0.003            -0.006         0.344
CLDHGH            29.115              29.048             0.067         1.523
CLDLOW            33.068              32.977             0.092         1.194
CLDMED            16.052              15.955             0.096         1.067
CLDTOT            51.113              51.047             0.066         1.324
EKE_850           30.512              30.328             0.183         1.446
EP            -2.319e-04           7.783e-05        -3.097e-04         0.282
FLNS              59.395              58.909             0.486         1.285
FLNSC             82.316              81.599             0.717         1.235
FLNT             233.675             234.324            -0.649         1.969
FLNTC            262.967             263.512            -0.545         0.940
FSDS             183.539             183.116             0.424         2.898
FSDSC            246.412             245.960             0.452         0.912
FSNS             158.889             160.093            -1.205         4.825
FSNSC            215.158             216.724            -1.566         6.553
FSNSC_ICE         54.623              53.682             0.941         2.896
FSNSC_LAND       179.378             179.219             0.159         1.046
FSNT             233.947             235.304            -1.357         4.604
FSNTC            286.367             288.117            -1.750         6.292
ICEAREA           23.012              22.803             0.209         0.028
LHFLX             82.059              83.124            -1.066         4.167
LWCF              29.292              29.188             0.104         1.504
PRECT              2.813               2.849            -0.036         0.274
PRECT_LAND         2.350               2.361            -0.011         0.210
PRECT_OCEAN        3.123               3.170            -0.047         0.307
PREH2O            26.126              26.812            -0.686         1.045
PREH2O_OCEAN      30.353              31.199            -0.846         1.222
PSI_200           -0.035              -0.036             0.000         0.123
PS               985.448             985.515            -0.067         0.523
PSL             1011.157            1011.206            -0.049         0.557
QFLX               2.813               2.849            -0.036         0.129
SHFLX             17.135              17.082             0.053         1.330
SNOWHLND          11.307              11.387            -0.080         1.254
SST               20.599              20.959            -0.360         0.503
STRESS_MAG         0.067               0.067            -0.000         0.006
SWCF             -52.420             -52.813             0.393         2.942
T_850            281.996             282.295            -0.299         0.437
TGCLDLWP         135.329             135.768            -0.438         7.380
TGCLDIWP          17.287              17.143             0.144         0.993
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.910             288.190            -0.280         0.454
TS               288.599             288.883            -0.283         0.481
TS_LAND          282.786             282.974            -0.188         0.409
U_200             15.475              15.606            -0.132         1.013
VT_850             0.151               0.121             0.030         0.561
Z3_500            56.777              56.850            -0.073         0.103
