DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             7.599               8.779            -1.180         6.592
RESSURF            6.957               7.961            -1.005         7.498
SOLIN            350.496             350.496             0.000         0.000
AAM            1.482e+26           1.491e+26        -8.964e+23      -999.000
CHI_200           -0.043              -0.043            -0.001         0.448
CLDHGH            28.414              28.457            -0.043         2.554
CLDLOW            32.386              32.358             0.028         1.936
CLDMED            16.211              16.162             0.048         1.922
CLDTOT            50.150              50.247            -0.097         2.346
EKE_850           27.074              27.316            -0.242         2.681
EP             5.917e-03           6.910e-03        -9.932e-04         0.551
FLNS              58.996              58.307             0.689         2.145
FLNSC             81.865              80.957             0.907         1.825
FLNT             230.627             231.222            -0.595         3.232
FLNTC            259.420             259.971            -0.551         1.428
FSDS             191.240             190.434             0.806         5.357
FSDSC            256.832             256.239             0.593         1.332
FSNS             163.274             164.881            -1.606         7.655
FSNSC            221.907             224.293            -2.386         9.598
FSNSC_ICE         28.067              28.545            -0.478         4.323
FSNSC_LAND       145.004             144.806             0.198         1.733
FSNT             238.226             240.001            -1.775         7.256
FSNTC            292.660             295.235            -2.575         9.239
ICEAREA           21.380              21.315             0.065         0.044
LHFLX             82.419              83.672            -1.253         6.514
LWCF              28.793              28.749             0.044         2.540
PRECT              2.816               2.858            -0.042         0.523
PRECT_LAND         2.302               2.328            -0.026         0.403
PRECT_OCEAN        3.157               3.203            -0.046         0.586
PREH2O            24.677              25.501            -0.824         1.429
PREH2O_OCEAN      29.758              30.807            -1.050         1.672
PSI_200           -0.002              -0.004             0.002         0.170
PS               985.306             985.387            -0.081         0.866
PSL             1011.335            1011.393            -0.059         0.896
QFLX               2.822               2.865            -0.043         0.191
SHFLX             14.903              14.941            -0.037         2.541
SNOWHLND          12.067              12.177            -0.109         1.430
SST               20.606              21.017            -0.410         0.600
STRESS_MAG         0.072               0.071             0.001         0.010
SWCF             -54.434             -55.234             0.800         5.105
T_850            280.321             280.641            -0.320         0.609
TGCLDLWP         135.233             135.563            -0.330        14.096
TGCLDIWP          17.735              17.571             0.164         1.797
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.964             286.234            -0.271         0.665
TS               286.608             286.888            -0.280         0.692
TS_LAND          276.014             276.165            -0.151         0.742
U_200             16.235              16.380            -0.145         1.570
VT_850            -0.671              -0.674             0.003         1.055
Z3_500            56.517              56.597            -0.081         0.134
