DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            -9.642              -9.393            -0.249         3.617
RESSURF          -10.597             -10.412            -0.186         5.156
SOLIN            330.385             330.385             0.000         0.000
AAM            1.189e+26           1.206e+26        -1.622e+24      -999.000
CHI_200            0.028               0.041            -0.012         0.534
CLDHGH            30.518              30.353             0.164         2.591
CLDLOW            35.678              35.533             0.145         1.864
CLDMED            16.074              15.940             0.133         1.852
CLDTOT            54.175              53.984             0.192         2.281
EKE_850           27.803              27.636             0.167         2.150
EP             1.204e-02           1.194e-02         1.049e-04         0.547
FLNS              58.020              57.634             0.386         2.030
FLNSC             81.580              80.895             0.686         1.559
FLNT             236.872             237.575            -0.703         3.411
FLNTC            267.066             267.629            -0.563         1.263
FSDS             171.148             171.074             0.074         4.980
FSDSC            235.344             234.914             0.431         1.111
FSNS             150.990             151.749            -0.760         5.110
FSNSC            208.607             209.193            -0.585         3.830
FSNSC_ICE         44.472              45.591            -1.119         3.541
FSNSC_LAND       214.889             214.723             0.166         1.864
FSNT             227.230             228.183            -0.953         4.755
FSNTC            281.136             281.989            -0.853         3.598
ICEAREA           23.991              23.632             0.359         0.038
LHFLX             84.074              85.205            -1.131         5.935
LWCF              30.194              30.054             0.140         2.712
PRECT              2.873               2.912            -0.039         0.527
PRECT_LAND         2.414               2.408             0.006         0.470
PRECT_OCEAN        3.174               3.231            -0.057         0.570
PREH2O            28.191              28.846            -0.655         1.087
PREH2O_OCEAN      31.066              31.815            -0.749         1.202
PSI_200           -0.074              -0.074             0.000         0.182
PS               985.650             985.715            -0.064         0.844
PSL             1011.028            1011.077            -0.049         0.885
QFLX               2.885               2.924            -0.039         0.172
SHFLX             19.493              19.322             0.171         2.171
SNOWHLND          10.312              10.365            -0.053         1.228
SST               20.321              20.646            -0.325         0.463
STRESS_MAG         0.077               0.079            -0.002         0.010
SWCF             -53.906             -53.807            -0.100         4.268
T_850            283.914             284.226            -0.311         0.472
TGCLDLWP         141.261             141.835            -0.573        13.995
TGCLDIWP          16.397              16.258             0.139         1.652
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.899             290.206            -0.306         0.490
TS               290.597             290.893            -0.295         0.507
TS_LAND          289.517             289.745            -0.228         0.517
U_200             13.286              13.545            -0.259         1.410
VT_850             0.981               0.940             0.041         0.865
Z3_500            57.127              57.199            -0.072         0.124
