DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             1.626               1.975            -0.348         4.203
RESSURF           -1.073              -0.534            -0.539         5.912
SOLIN            338.254             338.254             0.000         0.000
AAM            1.544e+26           1.534e+26         1.000e+24      -999.000
CHI_200            0.000               0.004            -0.004         0.453
CLDHGH            28.987              28.948             0.040         2.555
CLDLOW            31.388              31.331             0.056         1.801
CLDMED            16.033              15.911             0.122         1.779
CLDTOT            49.694              49.663             0.031         2.319
EKE_850           28.466              28.319             0.147         2.211
EP             1.876e-02           1.765e-02         1.105e-03         0.492
FLNS              60.890              60.474             0.417         2.083
FLNSC             83.183              82.554             0.629         1.638
FLNT             233.105             233.853            -0.748         3.027
FLNTC            262.615             263.230            -0.615         1.182
FSDS             185.273             184.939             0.334         4.287
FSDSC            244.285             243.871             0.413         1.096
FSNS             159.862             160.771            -0.909         5.168
FSNSC            212.657             213.794            -1.138         5.571
FSNSC_ICE         39.731              40.114            -0.383         3.078
FSNSC_LAND       190.436             190.247             0.190         2.428
FSNT             234.731             235.827            -1.096         4.830
FSNTC            283.988             285.342            -1.354         5.360
ICEAREA           22.486              22.376             0.110         0.039
LHFLX             82.038              82.901            -0.864         6.324
LWCF              29.510              29.377             0.133         2.473
PRECT              2.790               2.821            -0.031         0.460
PRECT_LAND         2.251               2.252            -0.001         0.354
PRECT_OCEAN        3.127               3.170            -0.043         0.513
PREH2O            25.720              26.407            -0.687         1.259
PREH2O_OCEAN      30.256              31.155            -0.899         1.471
PSI_200           -0.022              -0.023             0.001         0.184
PS               985.408             985.475            -0.067         0.755
PSL             1011.149            1011.197            -0.048         0.799
QFLX               2.809               2.838            -0.030         0.186
SHFLX             18.008              17.931             0.077         2.111
SNOWHLND          12.421              12.504            -0.083         1.320
SST               20.617              20.993            -0.376         0.559
STRESS_MAG         0.067               0.065             0.001         0.010
SWCF             -49.256             -49.514             0.258         3.782
T_850            281.936             282.245            -0.309         0.522
TGCLDLWP         129.543             129.784            -0.241        12.012
TGCLDIWP          17.729              17.559             0.171         1.698
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.873             288.187            -0.314         0.528
TS               288.597             288.918            -0.321         0.566
TS_LAND          282.469             282.699            -0.230         0.568
U_200             16.877              16.800             0.076         1.417
VT_850             0.219               0.159             0.060         0.990
Z3_500            56.718              56.797            -0.079         0.127
