DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -25.126             -25.317             0.190         1.346
RESSURF           -9.599              -9.519            -0.080         2.756
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.218               0.029            -0.246         0.292
CLDHGH            25.121              25.062             0.059         1.250
CLDLOW            30.487              30.481             0.005         0.992
CLDMED            15.286              15.156             0.130         0.773
CLDTOT            46.367              46.338             0.030         1.154
EKE_850           33.544              33.378             0.166         1.477
EP            -1.692e-02          -1.210e-02        -4.819e-03         0.164
FLNS              65.093              64.876             0.216         1.106
FLNSC             88.615              88.286             0.330         0.839
FLNT             230.764             231.133            -0.369         1.479
FLNTC            254.760             254.957            -0.198         0.846
FSDS             165.999             166.117            -0.118         2.090
FSDSC            219.078             219.003             0.075         0.523
FSNS             137.173             137.263            -0.090         1.983
FSNSC            183.033             182.873             0.160         1.288
FSNSC_ICE         48.400              47.641             0.759         2.094
FSNSC_LAND       165.043             165.044            -0.001         1.324
FSNT             205.637             205.816            -0.179         1.782
FSNTC            247.912             247.880             0.032         1.129
ICEAREA           11.331              11.559            -0.228         0.023
LHFLX             59.849              60.163            -0.314         2.159
LWCF              23.996              23.825             0.171         1.053
PRECT              2.058               2.063            -0.005         0.171
PRECT_LAND         1.655               1.670            -0.016         0.162
PRECT_OCEAN        2.658               2.654             0.004         0.191
PREH2O            18.538              18.741            -0.203         0.412
PREH2O_OCEAN      24.605              24.913            -0.308         0.465
PSI_200           -6.645              -6.722             0.078         0.128
PS               976.773             977.009            -0.236         0.405
PSL             1015.720            1015.943            -0.222         0.412
QFLX               2.041               2.051            -0.010         0.069
SHFLX             21.830              21.743             0.088         1.386
SNOWHLND           4.400               4.556            -0.156         1.714
SST               18.343              18.464            -0.121         0.294
STRESS_MAG         0.050               0.050            -0.001         0.004
SWCF             -42.275             -42.063            -0.212         1.691
T_850            278.850             278.935            -0.084         0.346
TGCLDLWP         126.180             125.996             0.184         5.900
TGCLDIWP          19.407              19.322             0.086         0.870
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.252             283.307            -0.055         0.378
TS               283.799             283.849            -0.050         0.389
TS_LAND          280.863             280.932            -0.070         0.400
U_200             18.288              18.536            -0.248         1.094
VT_850             0.270               0.274            -0.003         0.537
Z3_500            56.497              56.542            -0.046         0.080
