DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -103.793            -103.991             0.198         2.112
RESSURF          -75.985             -75.877            -0.108         8.342
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.449               3.593            -0.144         0.391
CLDHGH            25.674              25.707            -0.033         2.368
CLDLOW            27.272              27.385            -0.113         1.783
CLDMED            17.257              17.151             0.106         1.737
CLDTOT            44.332              44.460            -0.128         2.163
EKE_850           42.909              43.179            -0.270         3.641
EP             1.462e-01           1.409e-01         5.270e-03         0.312
FLNS              65.453              64.989             0.464         1.889
FLNSC             88.731              88.262             0.469         1.545
FLNT             212.609             212.791            -0.182         2.394
FLNTC            235.649             235.695            -0.046         1.633
FSDS              91.093              90.978             0.115         2.112
FSDSC            116.768             116.704             0.064         0.442
FSNS              74.049              73.923             0.125         2.143
FSNSC             95.829              95.748             0.081         1.451
FSNSC_ICE          1.832               1.922            -0.090         0.264
FSNSC_LAND        77.729              77.691             0.039         2.072
FSNT             108.816             108.800             0.016         1.945
FSNTC            129.788             129.831            -0.044         1.360
ICEAREA           13.669              13.973            -0.305         0.046
LHFLX             67.129              67.369            -0.240         5.128
LWCF              23.040              22.904             0.135         1.861
PRECT              2.104               2.117            -0.014         0.318
PRECT_LAND         1.058               1.082            -0.024         0.217
PRECT_OCEAN        3.467               3.477            -0.010         0.419
PREH2O            11.632              11.837            -0.205         0.583
PREH2O_OCEAN      18.498              18.884            -0.386         0.682
PSI_200           -8.113              -8.191             0.078         0.215
PS               977.113             977.562            -0.449         1.176
PSL             1017.426            1017.847            -0.421         1.216
QFLX               2.250               2.258            -0.008         0.163
SHFLX             17.451              17.441             0.010         3.601
SNOWHLND           5.852               6.061            -0.209         1.958
SST               16.360              16.502            -0.142         0.387
STRESS_MAG         0.075               0.076            -0.001         0.014
SWCF             -20.971             -21.031             0.060         1.644
T_850            271.045             271.059            -0.013         0.669
TGCLDLWP         120.872             120.673             0.199        11.912
TGCLDIWP          23.899              23.800             0.099         2.007
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.046             273.994             0.052         0.844
TS               274.544             274.491             0.053         0.845
TS_LAND          265.416             265.372             0.044         0.909
U_200             25.426              25.792            -0.367         2.044
VT_850             0.378               0.419            -0.041         1.183
Z3_500            55.151              55.204            -0.054         0.164
