DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            51.977              51.841             0.136         3.222
RESSURF           54.449              54.679            -0.231         2.937
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.937              -3.606            -0.331         0.458
CLDHGH            25.392              24.974             0.418         2.668
CLDLOW            37.494              37.435             0.059         1.875
CLDMED            13.597              13.372             0.225         1.659
CLDTOT            52.392              52.032             0.359         2.487
EKE_850           18.898              19.128            -0.230         1.774
EP            -2.365e-01          -2.106e-01        -2.585e-02         0.451
FLNS              59.968              59.875             0.093         2.276
FLNSC             84.599              84.297             0.301         1.523
FLNT             249.312             250.066            -0.754         3.542
FLNTC            274.817             275.103            -0.286         1.222
FSDS             232.391             232.908            -0.517         6.177
FSDSC            319.804             319.678             0.127         1.437
FSNS             196.857             197.372            -0.515         5.403
FSNSC            273.211             272.965             0.246         2.461
FSNSC_ICE        127.430             124.898             2.533         6.026
FSNSC_LAND       256.719             256.852            -0.133         2.380
FSNT             301.289             301.907            -0.618         4.819
FSNTC            370.899             370.829             0.070         2.014
ICEAREA            8.835               8.976            -0.141         0.024
LHFLX             54.694              55.132            -0.438         4.007
LWCF              25.504              25.037             0.467         2.693
PRECT              2.151               2.137             0.014         0.446
PRECT_LAND         2.431               2.429             0.001         0.534
PRECT_OCEAN        1.985               1.949             0.036         0.368
PREH2O            27.752              28.025            -0.274         0.738
PREH2O_OCEAN      32.147              32.477            -0.330         0.704
PSI_200           -4.363              -4.511             0.148         0.192
PS               975.782             976.114            -0.331         0.570
PSL             1013.412            1013.744            -0.331         0.580
QFLX               1.915               1.926            -0.012         0.115
SHFLX             27.746              27.686             0.061         2.194
SNOWHLND           2.508               2.616            -0.108         1.676
SST               19.987              20.087            -0.100         0.301
STRESS_MAG         0.048               0.048             0.000         0.004
SWCF             -69.610             -68.922            -0.688         4.930
T_850            287.807             287.919            -0.112         0.428
TGCLDLWP         136.167             135.137             1.030        13.457
TGCLDIWP          14.169              13.960             0.209         1.621
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.521             292.649            -0.128         0.374
TS               293.104             293.223            -0.119         0.392
TS_LAND          296.244             296.404            -0.161         0.482
U_200              9.234               9.431            -0.197         1.356
VT_850             0.133               0.106             0.027         0.894
Z3_500            58.024              58.079            -0.055         0.097
