DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -68.265             -68.493             0.228         1.867
RESSURF          -36.538             -36.369            -0.168         5.316
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.331              -1.119            -0.212         0.394
CLDHGH            24.955              24.744             0.211         2.146
CLDLOW            29.382              29.296             0.085         1.800
CLDMED            15.088              14.999             0.089         1.481
CLDTOT            44.881              44.732             0.148         2.081
EKE_850           30.620              30.600             0.020         1.989
EP            -1.469e-03          -6.557e-03         5.088e-03         0.329
FLNS              64.563              64.144             0.419         2.039
FLNSC             87.642              87.106             0.536         1.447
FLNT             232.279             232.574            -0.295         2.429
FLNTC            256.413             256.555            -0.141         1.197
FSDS             128.861             128.799             0.062         2.936
FSDSC            168.460             168.370             0.090         0.711
FSNS             110.542             110.485             0.057         2.611
FSNSC            145.305             145.166             0.138         0.964
FSNSC_ICE          9.899              10.121            -0.222         1.673
FSNSC_LAND       129.300             129.139             0.160         1.111
FSNT             164.014             164.081            -0.067         2.348
FSNTC            197.198             197.194             0.003         0.782
ICEAREA            8.663               8.933            -0.269         0.033
LHFLX             65.107              65.329            -0.222         4.034
LWCF              24.134              23.980             0.153         1.907
PRECT              2.223               2.236            -0.013         0.323
PRECT_LAND         1.633               1.653            -0.020         0.257
PRECT_OCEAN        2.962               2.976            -0.015         0.391
PREH2O            19.628              19.893            -0.265         0.713
PREH2O_OCEAN      26.259              26.578            -0.319         0.755
PSI_200           -6.284              -6.393             0.109         0.187
PS               977.036             977.116            -0.081         0.830
PSL             1015.983            1016.048            -0.065         0.846
QFLX               2.222               2.229            -0.008         0.122
SHFLX             17.410              17.382             0.028         1.846
SNOWHLND           2.709               2.874            -0.164         1.801
SST               19.620              19.736            -0.116         0.254
STRESS_MAG         0.049               0.049             0.000         0.008
SWCF             -33.183             -33.113            -0.070         2.335
T_850            279.328             279.431            -0.102         0.535
TGCLDLWP         131.476             131.801            -0.324        11.873
TGCLDIWP          19.215              19.152             0.064         1.698
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.464             284.492            -0.029         0.564
TS               285.040             285.069            -0.028         0.568
TS_LAND          280.751             280.782            -0.031         0.698
U_200             17.863              18.096            -0.233         1.509
VT_850             0.120               0.136            -0.016         1.083
Z3_500            56.663              56.696            -0.033         0.120
