DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -23.843             -21.091            -2.752         7.079
RESSURF           -5.198              -3.706            -1.492         3.597
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.756               0.513             0.242         0.368
CLDHGH            25.514              25.572            -0.058         1.425
CLDLOW            39.449              39.458            -0.009         1.239
CLDMED            15.924              15.781             0.143         1.200
CLDTOT            53.523              53.604            -0.081         1.273
EKE_850           44.418              43.957             0.461         1.717
EP             9.239e-02           1.103e-01        -1.792e-02         0.242
FLNS              60.413              59.830             0.583         1.506
FLNSC             89.459              88.642             0.817         1.421
FLNT             225.199             226.056            -0.856         1.776
FLNTC            249.778             250.676            -0.898         1.134
FSDS             168.222             166.868             1.354         3.630
FSDSC            226.805             225.963             0.842         1.373
FSNS             138.407             141.995            -3.589         7.727
FSNSC            188.888             194.199            -5.311        11.308
FSNSC_ICE         60.876              60.281             0.595         3.567
FSNSC_LAND       129.953             129.561             0.392         0.664
FSNT             201.356             204.964            -3.608         7.419
FSNTC            247.336             252.632            -5.295        10.882
ICEAREA           11.681              11.244             0.436         0.031
LHFLX             70.793              73.326            -2.533         5.851
LWCF              24.579              24.621            -0.042         1.295
PRECT              2.303               2.370            -0.067         0.266
PRECT_LAND         1.670               1.670             0.001         0.177
PRECT_OCEAN        2.487               2.567            -0.080         0.295
PREH2O            17.056              17.919            -0.862         1.250
PREH2O_OCEAN      19.398              20.387            -0.990         1.415
PSI_200            7.273               7.249             0.023         0.120
PS               983.491             983.344             0.146         0.778
PSL             1007.217            1007.031             0.186         0.843
QFLX               2.396               2.481            -0.085         0.191
SHFLX             12.399              12.546            -0.147         1.410
SNOWHLND          46.938              46.924             0.014         0.325
SST               14.735              15.288            -0.552         0.680
STRESS_MAG         0.091               0.093            -0.001         0.009
SWCF             -45.980             -47.667             1.687         4.149
T_850            276.094             276.582            -0.488         0.568
TGCLDLWP         142.166             143.838            -1.672         8.383
TGCLDIWP          20.607              20.388             0.220         1.225
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.166             281.633            -0.466         0.582
TS               281.710             282.199            -0.489         0.637
TS_LAND          266.390             266.729            -0.339         0.505
U_200             25.500              25.487             0.013         1.114
VT_850            -0.218              -0.213            -0.005         0.675
Z3_500            55.176              55.270            -0.094         0.139
