DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            72.254              76.735            -4.481        10.656
RESSURF           81.038              84.035            -2.997         7.665
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.994              -3.118             0.124         0.421
CLDHGH            21.539              21.778            -0.239         2.280
CLDLOW            42.332              42.212             0.120         2.066
CLDMED            13.843              13.820             0.023         1.690
CLDTOT            53.071              53.288            -0.217         2.263
EKE_850           28.996              29.309            -0.313         2.325
EP            -2.656e-02          -2.434e-02        -2.226e-03         0.459
FLNS              56.550              55.782             0.768         2.566
FLNSC             86.084              84.962             1.122         2.131
FLNT             235.755             236.613            -0.858         2.684
FLNTC            258.780             259.746            -0.966         1.289
FSDS             262.536             260.567             1.969         6.925
FSDSC            356.602             355.338             1.264         2.114
FSNS             211.300             216.618            -5.318        11.921
FSNSC            292.884             300.603            -7.719        16.609
FSNSC_ICE        122.291             121.732             0.559         9.585
FSNSC_LAND       190.445             189.700             0.745         1.710
FSNT             308.009             313.348            -5.339        11.374
FSNTC            380.752             388.455            -7.703        16.006
ICEAREA            7.711               7.342             0.370         0.041
LHFLX             62.871              65.649            -2.778         7.523
LWCF              23.026              23.134            -0.108         2.088
PRECT              2.178               2.271            -0.093         0.445
PRECT_LAND         2.712               2.751            -0.039         0.446
PRECT_OCEAN        2.090               2.192            -0.102         0.461
PREH2O            21.102              22.248            -1.146         1.801
PREH2O_OCEAN      22.830              24.084            -1.254         1.996
PSI_200            6.619               6.611             0.008         0.132
PS               983.800             983.526             0.275         0.899
PSL             1007.113            1006.804             0.308         0.933
QFLX               2.151               2.247            -0.095         0.234
SHFLX             10.841              11.152            -0.311         1.855
SNOWHLND          46.899              46.895             0.005         0.316
SST               16.075              16.730            -0.655         0.828
STRESS_MAG         0.083               0.082             0.002         0.010
SWCF             -72.743             -75.108             2.364         7.058
T_850            279.246             279.823            -0.577         0.704
TGCLDLWP         145.260             146.522            -1.262        13.591
TGCLDIWP          17.019              16.776             0.243         1.701
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.812             285.333            -0.521         0.675
TS               285.302             285.863            -0.560         0.751
TS_LAND          275.799             276.191            -0.392         0.567
U_200             19.921              19.998            -0.076         1.221
VT_850            -0.088              -0.092             0.005         1.197
Z3_500            55.898              55.997            -0.099         0.138
