DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -111.321            -110.499            -0.823         4.182
RESSURF          -83.546             -83.697             0.152         6.649
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.551               4.211             0.339         0.544
CLDHGH            31.246              30.913             0.333         1.959
CLDLOW            37.784              37.756             0.028         1.722
CLDMED            17.925              17.626             0.298         1.719
CLDTOT            56.109              55.889             0.219         1.781
EKE_850           55.711              54.634             1.077         3.053
EP             1.599e-01           1.983e-01        -3.839e-02         0.326
FLNS              63.130              62.780             0.349         1.936
FLNSC             92.570              91.924             0.646         1.436
FLNT             214.979             216.252            -1.273         2.593
FLNTC            242.039             243.083            -1.043         1.461
FSDS              81.441              80.980             0.461         2.615
FSDSC            108.982             108.504             0.478         0.786
FSNS              70.859              72.915            -2.055         4.895
FSNSC             94.503              97.174            -2.672         6.115
FSNSC_ICE          2.557               2.504             0.054         0.195
FSNSC_LAND        77.463              77.209             0.254         0.681
FSNT             103.658             105.754            -2.096         4.690
FSNTC            126.515             129.237            -2.722         5.916
ICEAREA           15.156              14.656             0.500         0.045
LHFLX             77.583              80.249            -2.667         7.328
LWCF              27.060              26.830             0.230         1.865
PRECT              2.452               2.501            -0.049         0.322
PRECT_LAND         0.903               0.872             0.031         0.215
PRECT_OCEAN        2.887               2.951            -0.064         0.357
PREH2O            13.485              14.113            -0.628         0.947
PREH2O_OCEAN      15.966              16.679            -0.712         1.066
PSI_200            7.267               7.314            -0.046         0.185
PS               983.599             983.256             0.343         1.314
PSL             1007.605            1007.218             0.387         1.389
QFLX               2.612               2.699            -0.087         0.233
SHFLX             13.693              13.583             0.110         2.432
SNOWHLND          46.962              46.943             0.019         0.356
SST               13.211              13.688            -0.476         0.593
STRESS_MAG         0.102               0.108            -0.006         0.014
SWCF             -22.857             -23.484             0.626         2.561
T_850            273.228             273.708            -0.480         0.580
TGCLDLWP         141.124             143.221            -2.097        12.020
TGCLDIWP          23.412              23.167             0.246         1.801
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.062             278.516            -0.453         0.646
TS               278.656             279.107            -0.451         0.678
TS_LAND          259.201             259.459            -0.258         0.691
U_200             30.267              30.170             0.097         1.614
VT_850            -0.380              -0.362            -0.018         1.051
Z3_500            54.562              54.638            -0.076         0.172
