DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -70.250             -68.470            -1.780         5.963
RESSURF          -44.421             -44.098            -0.324         6.879
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.369              -0.749             0.381         0.477
CLDHGH            24.142              24.220            -0.077         2.483
CLDLOW            38.788              38.922            -0.133         1.915
CLDMED            16.372              16.206             0.167         2.040
CLDTOT            52.065              52.220            -0.155         2.265
EKE_850           42.751              42.365             0.386         2.951
EP             1.212e-01           1.467e-01        -2.550e-02         0.454
FLNS              59.339              58.519             0.820         2.373
FLNSC             87.391              86.411             0.980         2.013
FLNT             226.556             227.458            -0.901         2.737
FLNTC            251.163             252.155            -0.992         1.392
FSDS             123.088             121.704             1.384         4.232
FSDSC            167.488             166.748             0.741         1.218
FSNS             106.767             109.297            -2.530         6.692
FSNSC            145.654             149.758            -4.105         9.134
FSNSC_ICE         21.556              20.922             0.634         2.831
FSNSC_LAND       103.763             103.530             0.233         0.465
FSNT             156.306             158.988            -2.682         6.447
FSNTC            193.043             197.259            -4.216         8.896
ICEAREA            8.310               8.009             0.300         0.039
LHFLX             79.732              82.630            -2.898         8.395
LWCF              24.607              24.697            -0.091         2.243
PRECT              2.579               2.650            -0.071         0.444
PRECT_LAND         1.560               1.570            -0.010         0.289
PRECT_OCEAN        2.834               2.917            -0.083         0.483
PREH2O            18.675              19.716            -1.041         1.591
PREH2O_OCEAN      20.898              22.074            -1.176         1.756
PSI_200            7.798               7.632             0.166         0.238
PS               983.426             983.349             0.077         1.096
PSL             1007.301            1007.169             0.132         1.163
QFLX               2.700               2.797            -0.096         0.264
SHFLX             12.117              12.246            -0.129         2.113
SNOWHLND          46.906              46.892             0.014         0.367
SST               15.684              16.268            -0.584         0.753
STRESS_MAG         0.092               0.092             0.000         0.014
SWCF             -36.736             -38.271             1.535         4.207
T_850            277.074             277.577            -0.502         0.686
TGCLDLWP         146.482             148.235            -1.753        13.473
TGCLDIWP          20.837              20.548             0.290         2.061
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.059             282.576            -0.517         0.719
TS               282.652             283.199            -0.547         0.783
TS_LAND          264.047             264.538            -0.491         0.892
U_200             24.563              24.463             0.100         1.699
VT_850            -0.145              -0.141            -0.004         1.261
Z3_500            55.367              55.476            -0.109         0.181
