DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            16.529              20.345            -3.816         8.873
RESSURF           28.571              31.129            -2.558         6.318
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.803               1.626             0.177         0.408
CLDHGH            25.034              25.385            -0.351         2.419
CLDLOW            38.998              39.048            -0.050         1.729
CLDMED            15.512              15.475             0.036         1.741
CLDTOT            52.874              53.108            -0.234         2.058
EKE_850           43.060              42.708             0.353         2.669
EP             1.097e-01           1.094e-01         2.526e-04         0.303
FLNS              62.597              62.115             0.482         2.110
FLNSC             91.790              91.195             0.594         1.510
FLNT             223.612             224.019            -0.407         2.408
FLNTC            247.200             247.871            -0.672         1.218
FSDS             208.323             206.502             1.821         5.660
FSDSC            277.574             276.624             0.949         1.655
FSNS             166.581             170.882            -4.301         9.485
FSNSC            225.190             231.948            -6.758        14.087
FSNSC_ICE         63.252              63.432            -0.180         4.946
FSNSC_LAND       149.738             149.276             0.463         0.956
FSNT             240.141             244.364            -4.223         8.977
FSNTC            292.398             299.004            -6.606        13.448
ICEAREA           15.512              14.940             0.572         0.043
LHFLX             62.511              64.429            -1.919         5.486
LWCF              23.588              23.853            -0.265         2.058
PRECT              1.994               2.060            -0.066         0.331
PRECT_LAND         1.540               1.503             0.037         0.298
PRECT_OCEAN        2.120               2.207            -0.087         0.354
PREH2O            14.971              15.689            -0.717         1.118
PREH2O_OCEAN      17.178              18.021            -0.844         1.270
PSI_200            7.416               7.446            -0.030         0.141
PS               983.193             983.248            -0.055         0.814
PSL             1006.898            1006.929            -0.031         0.839
QFLX               2.104               2.170            -0.066         0.180
SHFLX             12.902              13.208            -0.306         1.974
SNOWHLND          46.983              46.967             0.016         0.335
SST               13.067              13.578            -0.512         0.621
STRESS_MAG         0.099               0.099            -0.000         0.011
SWCF             -52.257             -54.640             2.383         6.088
T_850            274.853             275.306            -0.453         0.588
TGCLDLWP         135.614             137.618            -2.004        12.581
TGCLDIWP          21.109              21.025             0.084         2.070
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.756             280.174            -0.417         0.584
TS               280.252             280.698            -0.445         0.637
TS_LAND          266.653             266.923            -0.270         0.738
U_200             27.178              27.273            -0.094         1.352
VT_850            -0.255              -0.253            -0.002         0.738
Z3_500            54.887              54.984            -0.097         0.151
