DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            48.632              48.222             0.410         2.059
RESSURF           15.339              15.805            -0.466         3.513
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.532              -0.519            -0.013         0.367
CLDHGH            36.533              36.337             0.196         1.827
CLDLOW            29.357              29.083             0.275         1.324
CLDMED            16.924              16.906             0.018         1.173
CLDTOT            53.393              53.148             0.246         1.515
EKE_850           14.866              14.927            -0.061         1.104
EP            -7.440e-02          -9.570e-02         2.129e-02         0.388
FLNS              52.835              52.182             0.654         1.213
FLNSC             69.187              68.188             0.999         1.358
FLNT             244.798             245.517            -0.719         2.496
FLNTC            283.867             284.406            -0.539         0.811
FSDS             215.633             215.589             0.044         2.769
FSDSC            292.260             291.821             0.439         0.589
FSNS             200.105             200.069             0.036         2.568
FSNSC            272.196             271.791             0.405         0.533
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.606             245.296             0.310         0.487
FSNT             293.430             293.739            -0.309         2.398
FSNTC            362.050             362.078            -0.028         0.171
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.756             115.122            -0.366         3.646
LWCF              39.068              38.889             0.179         1.990
PRECT              4.049               4.085            -0.037         0.351
PRECT_LAND         4.199               4.209            -0.010         0.297
PRECT_OCEAN        3.994               4.040            -0.046         0.367
PREH2O            42.396              43.381            -0.985         1.238
PREH2O_OCEAN      44.050              45.101            -1.051         1.319
PSI_200           -0.717              -0.620            -0.097         0.123
PS               995.832             995.944            -0.112         0.238
PSL             1010.549            1010.656            -0.108         0.237
QFLX               3.974               3.990            -0.015         0.092
SHFLX             17.175              16.960             0.214         1.185
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.313              27.625            -0.312         0.386
STRESS_MAG         0.054               0.053             0.001         0.005
SWCF             -68.620             -68.339            -0.281         2.443
T_850            290.352             290.673            -0.321         0.369
TGCLDLWP         137.588             137.429             0.159         7.630
TGCLDIWP          11.972              11.845             0.126         0.842
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.046             299.365            -0.318         0.371
TS               300.017             300.327            -0.311         0.374
TS_LAND          298.443             298.756            -0.313         0.343
U_200              2.934               3.093            -0.159         0.806
VT_850             0.381               0.287             0.094         0.456
Z3_500            58.616              58.695            -0.079         0.079
