DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            53.248              52.550             0.698         3.616
RESSURF           15.611              15.546             0.065         6.379
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.572              -0.589             0.017         0.519
CLDHGH            37.805              37.666             0.139         2.951
CLDLOW            27.665              27.591             0.074         1.947
CLDMED            17.501              17.485             0.016         2.276
CLDTOT            52.979              52.930             0.049         2.586
EKE_850           10.657              10.804            -0.147         1.795
EP            -9.936e-02          -9.345e-02        -5.906e-03         0.772
FLNS              55.078              54.246             0.832         1.916
FLNSC             71.037              69.911             1.127         1.752
FLNT             243.217             243.959            -0.742         4.269
FLNTC            283.264             283.902            -0.638         1.341
FSDS             219.421             219.075             0.346         5.794
FSDSC            296.188             295.734             0.453         0.828
FSNS             203.517             203.189             0.328         5.458
FSNSC            275.727             275.313             0.414         0.760
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.719             248.605             0.115         0.651
FSNT             296.465             296.510            -0.044         5.046
FSNTC            365.702             365.740            -0.039         0.240
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.445             117.198            -0.753         6.660
LWCF              40.047              39.943             0.104         3.377
PRECT              4.135               4.155            -0.019         0.719
PRECT_LAND         4.446               4.467            -0.021         0.601
PRECT_OCEAN        4.031               4.048            -0.018         0.753
PREH2O            40.911              42.026            -1.115         1.592
PREH2O_OCEAN      42.962              44.195            -1.233         1.716
PSI_200            1.454               1.531            -0.078         0.154
PS               994.779             994.847            -0.068         0.277
PSL             1009.509            1009.571            -0.062         0.277
QFLX               4.036               4.061            -0.025         0.167
SHFLX             16.382              16.198             0.184         1.743
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.266              27.589            -0.323         0.406
STRESS_MAG         0.058               0.058             0.001         0.007
SWCF             -69.236             -69.230            -0.006         5.066
T_850            289.892             290.260            -0.369         0.432
TGCLDLWP         139.466             139.404             0.062        16.364
TGCLDIWP          12.415              12.264             0.151         1.667
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.728             299.069            -0.341         0.405
TS               299.667             299.998            -0.331         0.407
TS_LAND          297.109             297.470            -0.361         0.415
U_200              3.658               3.653             0.005         1.320
VT_850            -2.179              -2.222             0.043         0.741
Z3_500            58.456              58.544            -0.088         0.090
