DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.300              55.923             0.376         3.140
RESSURF           22.831              24.142            -1.311         6.039
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.588              -0.549            -0.039         0.472
CLDHGH            38.085              37.636             0.449         2.992
CLDLOW            27.808              27.435             0.374         1.700
CLDMED            16.450              16.365             0.085         1.852
CLDTOT            53.141              52.697             0.444         2.464
EKE_850           10.519              10.236             0.283         1.225
EP            -8.987e-02          -1.152e-01         2.533e-02         0.667
FLNS              53.065              52.606             0.459         1.648
FLNSC             68.976              68.147             0.828         1.544
FLNT             244.127             245.097            -0.970         3.936
FLNTC            284.421             284.936            -0.515         1.062
FSDS             222.229             222.470            -0.241         4.498
FSDSC            295.637             295.143             0.494         1.049
FSNS             206.110             206.323            -0.213         4.192
FSNSC            275.319             274.847             0.473         0.930
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.515             246.886             0.629         1.463
FSNT             300.426             301.020            -0.594         3.914
FSNTC            366.290             366.278             0.013         0.322
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.861             112.326             0.535         6.064
LWCF              40.295              39.839             0.455         3.282
PRECT              4.001               4.011            -0.010         0.614
PRECT_LAND         4.247               4.208             0.040         0.550
PRECT_OCEAN        3.919               3.944            -0.025         0.632
PREH2O            43.095              44.022            -0.927         1.421
PREH2O_OCEAN      44.875              45.933            -1.058         1.517
PSI_200            0.014               0.147            -0.133         0.168
PS               995.463             995.578            -0.114         0.300
PSL             1010.155            1010.266            -0.112         0.301
QFLX               3.911               3.896             0.015         0.154
SHFLX             17.353              17.249             0.104         1.658
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.755              28.070            -0.315         0.414
STRESS_MAG         0.053               0.051             0.002         0.007
SWCF             -65.864             -65.257            -0.606         4.000
T_850            290.887             291.190            -0.303         0.387
TGCLDLWP         126.189             124.896             1.293        12.061
TGCLDIWP          11.992              11.782             0.210         1.358
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.502             299.807            -0.304         0.377
TS               300.544             300.850            -0.306         0.398
TS_LAND          299.281             299.565            -0.284         0.355
U_200              5.525               5.227             0.298         1.145
VT_850             0.347               0.180             0.167         0.659
Z3_500            58.636              58.711            -0.075         0.076
