DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            55.797              55.043             0.754         2.897
RESSURF           26.095              26.142            -0.047         5.083
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.438              -0.451             0.013         0.562
CLDHGH            35.414              34.969             0.445         2.476
CLDLOW            30.063              29.762             0.301         1.714
CLDMED            17.032              16.941             0.091         1.875
CLDTOT            53.384              52.909             0.475         2.204
EKE_850           11.092              11.007             0.086         1.332
EP            -2.153e-01          -2.092e-01        -6.090e-03         0.608
FLNS              52.177              51.509             0.669         1.720
FLNSC             68.920              67.922             0.998         1.614
FLNT             245.788             246.887            -1.099         3.541
FLNTC            283.849             284.518            -0.669         1.158
FSDS             222.345             222.416            -0.071         4.369
FSDSC            301.210             301.030             0.180         0.758
FSNS             206.732             206.844            -0.111         4.062
FSNSC            281.032             280.888             0.144         0.711
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       254.524             254.723            -0.199         1.090
FSNT             301.585             301.930            -0.345         3.796
FSNTC            371.938             372.082            -0.144         0.320
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.562             111.547            -0.985         5.619
LWCF              38.061              37.631             0.430         2.737
PRECT              4.063               4.091            -0.027         0.560
PRECT_LAND         4.649               4.704            -0.056         0.504
PRECT_OCEAN        3.872               3.893            -0.021         0.576
PREH2O            42.517              43.439            -0.922         1.306
PREH2O_OCEAN      43.697              44.597            -0.900         1.323
PSI_200           -1.234              -1.156            -0.078         0.119
PS               995.782             995.835            -0.052         0.219
PSL             1010.474            1010.523            -0.049         0.220
QFLX               3.848               3.881            -0.033         0.144
SHFLX             17.898              17.646             0.252         1.760
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.098              27.412            -0.314         0.389
STRESS_MAG         0.055               0.054             0.001         0.006
SWCF             -70.353             -70.152            -0.201         3.885
T_850            290.432             290.732            -0.300         0.359
TGCLDLWP         137.983             138.063            -0.080        11.854
TGCLDIWP          11.742              11.543             0.199         1.320
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.051             299.361            -0.310         0.369
TS               300.043             300.349            -0.305         0.379
TS_LAND          299.242             299.523            -0.281         0.354
U_200              1.948               2.154            -0.206         0.865
VT_850             0.286               0.209             0.077         0.608
Z3_500            58.609              58.683            -0.074         0.074
